sample_id,experiment_id,flowrate,T_set,TOP_fraction,oleylamine_fraction,ODE_extra_fraction,r0_sphere,sigma_sphere,I0_sphere,I0_fraction_sphere,disordered_flag,crystalline_flag,dilute_sphere_flag
R1_201811_1541514684,R1_201811,80.0,290.0,0.0,0.0,0.25,17.636658247013248,0.12964050158753615,40.29184664400842,1.0,False,False,True
R1_201811_1541516380,R1_201811,80.0,290.0,0.0,0.0,0.25,17.58857281062973,0.13058925910481778,38.9685187284727,0.9977476162027044,False,False,True
R1_201811_1541518092,R1_201811,80.0,290.0,0.0,0.0,0.25,17.59164558734766,0.1266531776118811,37.14905014815334,0.9963164320859779,False,False,True
R1_201811_1541519777,R1_201811,80.0,290.0,0.0,0.0,0.25,17.600586866892332,0.12722652756698194,39.89947114043132,1.0,False,False,True
R4_20190417_1555784916,R4_20190417,119.67428220795864,295.14571130695145,2.5064065186447375e-05,0.0014347745032718539,0.2858988878699536,16.09846100923158,0.16914286861873984,61.3292777531377,1.0,False,False,True
R4_20190417_1555786107,R4_20190417,119.14623540812052,296.90354844686385,0.0006017290595053222,0.0002512101312169264,0.2696508243354355,16.43778359033164,0.17670200703775918,60.256959055024225,0.9959308235793602,False,False,True
R4_20190417_1555787305,R4_20190417,119.23818591436871,297.96528828424965,0.0013852663233393978,0.0021165426548913234,0.29375838471895743,16.288983884585953,0.16915448422878054,57.274254785012154,0.9971252131911587,False,False,True
R4_20190417_1555788973,R4_20190417,99.8673268507666,268.27192779191336,0.0025880787379465578,0.03334346993868976,0.29416916573943935,18.05481330322826,0.13017103033262956,69.6879322674287,1.0,False,False,True
R4_20190417_1555830093,R4_20190417,29.514252334702515,299.5511939619458,0.09838747626353438,0.0008907395198903965,0.002393467901119385,44.845343707267226,0.17006766353566072,24.376993875119336,0.10630025836525671,True,False,True
R4_20190417_1555835064,R4_20190417,21.980595170036498,249.89846591608213,0.0001612334462941678,0.03553252601212464,0.29662356465653533,31.020136535782836,0.10732699080998354,184.29447303934026,0.9987595790140855,False,False,True
R4_20190417_1555840481,R4_20190417,23.883955929566046,250.31957715195193,0.00011186162913413722,0.04142548285495076,0.29860771444308454,31.14740520840037,0.14270657458515446,217.60636459319312,0.9989491275041731,False,False,True
R4_20190417_1555845971,R4_20190417,21.41600541350158,247.29837881886155,0.0010009301809295957,0.0407754319680881,0.29314997861043635,29.4285722047009,0.10003658349683109,90.59782289017441,0.9987105204407417,False,False,True
R4_20190417_1555851373,R4_20190417,24.854569510088538,250.14323211299285,0.007472099515699666,0.039324121219438506,0.2999275866313132,24.367290399200776,0.06586055243489997,11.110879254987625,0.9745313978181123,False,False,True
R4_20190417_1555856926,R4_20190417,20.251064691687702,247.67103967346236,0.002032656148475922,0.03526446294742703,0.29909710148739777,28.39410943940627,0.09392786276736531,57.0869600673933,0.9957267028901898,False,False,True
R4_20190417_1555964282,R4_20190417,20.311187079867132,249.96621230318956,0.0015608616584369482,0.034116169261425085,0.2969849328921099,30.21063274720382,0.10706687061752918,349.89046373237494,0.9995314773233984,False,False,True
RxnB_20190329_1554006432,RxnB_20190329,53.8043569935248,258.1799888898238,0.2941336202361215,0.01984408225120705,0.29826896825288457,,,,,False,False,False
RxnB_20190329_1554011062,RxnB_20190329,44.91081670927316,257.26932093730915,0.02775631418704691,0.200938667685375,0.22939828030160875,,,,,False,False,False
RxnB_20190329_1554014393,RxnB_20190329,71.11707221636179,253.5281595509674,0.20018885356173927,0.12076275605973423,0.21780652522500227,,,,,False,False,False
RxnB_20190329_1554018753,RxnB_20190329,47.85217279548345,257.7353663526478,0.011071373984247816,0.12742384089535796,0.01782894070023561,24.12765620339607,0.09147933522047791,61.279777008266436,0.9948681011693343,False,False,True
RxnB_20190329_1554022504,RxnB_20190329,48.1852537834767,303.15706482564957,0.0024196196999089854,0.298681899561354,0.08790739208144784,33.05476116595981,0.059181619519523276,61.994293401429054,0.44801651375847446,True,False,True
