,experiment_id,sample_id,system_class,system_class_pr,diffuse_binary,disordered_binary,crystalline_binary,diffuse_binary_pr,disordered_binary_pr,crystalline_binary_pr
249,R0_201811,R0_201811_1541388814,unidentified,unidentified,False,False,False,False,False,False
213,R0_20190424,R0_20190424_9_1556190799,diffuse,diffuse__diffuse,True,False,False,True,False,False
211,R0_20190424,R0_20190424_1_1556153961,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
214,R0_20190424,R0_20190424_7_1556179937,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
215,R0_20190424,R0_20190424_8_1556184889,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
216,R0_20190424,R0_20190424_0_1556152439,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
217,R0_20190424,R0_20190424_5_1556168663,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
218,R0_20190424,R0_20190424_2_1556155545,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
219,R0_20190424,R0_20190424_3_1556156857,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
220,R0_20190424,R0_20190424_4_1556162906,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
212,R0_20190424,R0_20190424_6_1556174466,unidentified,unidentified,False,False,False,False,False,False
44,R1_201811,R1_201811_1541480597,diffuse,diffuse__diffuse,True,False,False,True,False,False
71,R1_201811,R1_201811_1541470422,diffuse,diffuse__diffuse,True,False,False,True,False,False
61,R1_201811,R1_201811_1541514684,diffuse,diffuse__diffuse,True,False,False,True,False,False
52,R1_201811,R1_201811_1541495916,diffuse,diffuse__diffuse,True,False,False,True,False,False
55,R1_201811,R1_201811_1541475495,diffuse,diffuse__diffuse,True,False,False,True,False,False
58,R1_201811,R1_201811_1541482311,diffuse,diffuse__diffuse,True,False,False,True,False,False
65,R1_201811,R1_201811_1541485712,diffuse,diffuse__diffuse,True,False,False,True,False,False
47,R1_201811,R1_201811_1541478886,diffuse,diffuse,True,False,False,True,False,False
53,R1_201811,R1_201811_1541477202,diffuse,diffuse__diffuse,True,False,False,True,False,False
50,R1_201811,R1_201811_1541519777,diffuse,diffuse,True,False,False,True,False,False
73,R1_201811,R1_201811_1541489126,diffuse,diffuse__diffuse,True,False,False,True,False,False
49,R1_201811,R1_201811_1541492523,diffuse,diffuse__diffuse,True,False,False,True,False,False
63,R1_201811,R1_201811_1541487419,diffuse,diffuse__diffuse,True,False,False,True,False,False
66,R1_201811,R1_201811_1541499320,diffuse,diffuse__diffuse,True,False,False,True,False,False
72,R1_201811,R1_201811_1541511275,diffuse,diffuse__diffuse,True,False,False,True,False,False
68,R1_201811,R1_201811_1541497627,diffuse,diffuse__diffuse,True,False,False,True,False,False
48,R1_201811,R1_201811_1541494234,diffuse,diffuse__diffuse,True,False,False,True,False,False
46,R1_201811,R1_201811_1541501080,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
51,R1_201811,R1_201811_1541504473,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
54,R1_201811,R1_201811_1541490839,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
56,R1_201811,R1_201811_1541518092,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
59,R1_201811,R1_201811_1541502764,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
60,R1_201811,R1_201811_1541507869,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
62,R1_201811,R1_201811_1541512972,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
69,R1_201811,R1_201811_1541509565,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
70,R1_201811,R1_201811_1541516380,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
45,R1_201811,R1_201811_1541465229,diffuse__disordered,diffuse__disordered,True,True,False,True,True,False
57,R1_201811,R1_201811_1541463535,diffuse__disordered,diffuse__disordered,True,True,False,True,True,False
64,R1_201811,R1_201811_1541466983,unidentified,unidentified,False,False,False,False,False,False
67,R1_201811,R1_201811_1541484017,unidentified,unidentified,False,False,False,False,False,False
201,R1_20190424,R1_20190424_0_1556200015,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
206,R1_20190424,R1_20190424_1_1556201300,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
207,R1_20190424,R1_20190424_4_1556235422,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
208,R1_20190424,R1_20190424_3_1556212891,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
209,R1_20190424,R1_20190424_2_1556202839,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
202,R1_20190424,R1_20190424_7_1556218812,diffuse__diffuse__disordered,diffuse__disordered,True,True,False,True,True,False
203,R1_20190424,R1_20190424_8_1556224886,diffuse__diffuse__disordered,diffuse__disordered,True,True,False,True,True,False
205,R1_20190424,R1_20190424_9_1556257839,diffuse__diffuse__disordered,diffuse__diffuse,True,True,False,True,False,False
210,R1_20190424,R1_20190424_5_1556245572,diffuse__diffuse__disordered,diffuse__disordered,True,True,False,True,True,False
204,R1_20190424,R1_20190424_6_1556251607,diffuse__disordered,diffuse__disordered,True,True,False,True,True,False
282,R2_201811,R2_201811_1541582259,diffuse,unidentified,True,False,False,False,False,False
287,R2_201811,R2_201811_1541556601,diffuse,unidentified,True,False,False,False,False,False
277,R2_201811,R2_201811_1541560001,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
278,R2_201811,R2_201811_1541566840,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
280,R2_201811,R2_201811_1541568535,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
281,R2_201811,R2_201811_1541563439,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
283,R2_201811,R2_201811_1541571996,diffuse__diffuse__disordered,diffuse__diffuse,True,True,False,True,False,False
284,R2_201811,R2_201811_1541553160,diffuse__diffuse__disordered,diffuse__disordered,True,True,False,True,True,False
285,R2_201811,R2_201811_1541554846,diffuse__diffuse__disordered,diffuse__diffuse,True,True,False,True,False,False
286,R2_201811,R2_201811_1541570304,diffuse__diffuse__disordered,diffuse__disordered,True,True,False,True,True,False
279,R2_201811,R2_201811_1541561694,diffuse__disordered,diffuse__diffuse,True,True,False,True,False,False
97,R2_20190424,R2_20190424_8_1556295257,diffuse,diffuse__diffuse,True,False,False,True,False,False
92,R2_20190424,R2_20190424_3_1556271437,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
94,R2_20190424,R2_20190424_5_1556278596,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
95,R2_20190424,R2_20190424_2_1556267826,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
98,R2_20190424,R2_20190424_1_1556265593,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
93,R2_20190424,R2_20190424_4_1556275631,diffuse__diffuse__disordered,diffuse__disordered,True,True,False,True,True,False
96,R2_20190424,R2_20190424_7_1556289966,unidentified,unidentified,False,False,False,False,False,False
99,R2_20190424,R2_20190424_6_1556284387,unidentified,unidentified,False,False,False,False,False,False
136,R4_20190417,R4_20190417_1555788973,diffuse,diffuse__diffuse,True,False,False,True,False,False
143,R4_20190417,R4_20190417_1555784916,diffuse,diffuse__diffuse,True,False,False,True,False,False
138,R4_20190417,R4_20190417_1555835064,diffuse__diffuse,diffuse__disordered,True,False,False,True,True,False
139,R4_20190417,R4_20190417_1555964282,diffuse__diffuse,diffuse__disordered,True,False,False,True,True,False
140,R4_20190417,R4_20190417_1555787305,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
141,R4_20190417,R4_20190417_1555845971,diffuse__diffuse,diffuse__disordered,True,False,False,True,True,False
142,R4_20190417,R4_20190417_1555851373,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
144,R4_20190417,R4_20190417_1555786107,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
145,R4_20190417,R4_20190417_1555840481,diffuse__diffuse,diffuse__disordered,True,False,False,True,True,False
146,R4_20190417,R4_20190417_1555856926,diffuse__diffuse,diffuse__disordered,True,False,False,True,True,False
137,R4_20190417,R4_20190417_1555830093,diffuse__diffuse__disordered,diffuse__disordered,True,True,False,True,True,False
125,R5_20190417,R5_20190417_1555880344,diffuse,diffuse__diffuse,True,False,False,True,False,False
131,R5_20190417,R5_20190417_1555994774,diffuse,unidentified,True,False,False,False,False,False
134,R5_20190417,R5_20190417_1555983613,diffuse,diffuse__diffuse,True,False,False,True,False,False
126,R5_20190417,R5_20190417_1555972808,diffuse__diffuse,diffuse__disordered,True,False,False,True,True,False
128,R5_20190417,R5_20190417_1555968926,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
129,R5_20190417,R5_20190417_1555882718,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
130,R5_20190417,R5_20190417_1555978190,diffuse__diffuse,diffuse__disordered,True,False,False,True,True,False
132,R5_20190417,R5_20190417_1555878455,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
133,R5_20190417,R5_20190417_1555876280,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
135,R5_20190417,R5_20190417_1555989107,diffuse__diffuse,diffuse__disordered,True,False,False,True,True,False
127,R5_20190417,R5_20190417_1556030524,unidentified,unidentified,False,False,False,False,False,False
37,R6_20190417,R6_20190417_10_1556094454,diffuse,diffuse__diffuse,True,False,False,True,False,False
29,R6_20190417,R6_20190417_1_1556055692,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
30,R6_20190417,R6_20190417_6_1556074909,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
31,R6_20190417,R6_20190417_9_1556088204,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
32,R6_20190417,R6_20190417_7_1556080620,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
34,R6_20190417,R6_20190417_0_1556054269,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
35,R6_20190417,R6_20190417_5_1556069138,diffuse__diffuse,diffuse__disordered,True,False,False,True,True,False
36,R6_20190417,R6_20190417_2_1556059306,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
38,R6_20190417,R6_20190417_3_1556061970,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
39,R6_20190417,R6_20190417_4_1556065062,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
33,R6_20190417,R6_20190417_8_1556086812,unidentified,unidentified,False,False,False,False,False,False
40,R7_20190417,R7_20190417_0_1556126989,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
