,experiment_id,sample_id,system_class,system_class_pr,diffuse_binary,disordered_binary,crystalline_binary,diffuse_binary_pr,disordered_binary_pr,crystalline_binary_pr
23,RxnD_201902,RxnD_201902_1549677642,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
24,RxnD_201902,RxnD_201902_1549706466,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
25,RxnD_201902,RxnD_201902_1549696659,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
27,RxnD_201902,RxnD_201902_1549732501,diffuse__diffuse,diffuse__disordered,True,False,False,True,True,False
28,RxnD_201902,RxnD_201902_1549699693,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
19,RxnD_201902,RxnD_201902_1549685209,diffuse__disordered,diffuse__diffuse,True,True,False,True,False,False
26,RxnD_201902,RxnD_201902_1549722477,unidentified,unidentified,False,False,False,False,False,False
147,RxnE_201902,RxnE_201902_1549843586,diffuse,unidentified,True,False,False,False,False,False
153,RxnE_201902,RxnE_201902_1549780388,diffuse,diffuse__disordered,True,False,False,True,True,False
154,RxnE_201902,RxnE_201902_1549865560,diffuse,diffuse__diffuse,True,False,False,True,False,False
163,RxnE_201902,RxnE_201902_1549765194,diffuse,unidentified,True,False,False,False,False,False
165,RxnE_201902,RxnE_201902_1549816619,diffuse,unidentified,True,False,False,False,False,False
166,RxnE_201902,RxnE_201902_1549795188,diffuse,unidentified,True,False,False,False,False,False
164,RxnE_201902,RxnE_201902_1549785719,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
155,RxnE_201902,RxnE_201902_1549839615,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
148,RxnE_201902,RxnE_201902_1549877483,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
167,RxnE_201902,RxnE_201902_1549857605,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
162,RxnE_201902,RxnE_201902_1549821595,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
150,RxnE_201902,RxnE_201902_1549770506,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
160,RxnE_201902,RxnE_201902_1549763321,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
158,RxnE_201902,RxnE_201902_1549814628,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
159,RxnE_201902,RxnE_201902_1549787700,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
156,RxnE_201902,RxnE_201902_1549768788,diffuse__diffuse,diffuse__diffuse,True,False,False,True,False,False
161,RxnE_201902,RxnE_201902_1549888740,diffuse__diffuse,diffuse__disordered,True,False,False,True,True,False
157,RxnE_201902,RxnE_201902_1549832975,diffuse__diffuse,diffuse__disordered,True,False,False,True,True,False
149,RxnE_201902,RxnE_201902_1549831114,diffuse__diffuse,diffuse__disordered,True,False,False,True,True,False
152,RxnE_201902,RxnE_201902_1549802310,diffuse__diffuse__disordered,diffuse__diffuse,True,True,False,True,False,False
151,RxnE_201902,RxnE_201902_1549807638,unidentified,unidentified,False,False,False,False,False,False
