,experiment_id,sample_id,system_class,system_class_xval,diffuse_binary,disordered_binary,crystalline_binary,diffuse_binary_xval,diffuse_binary_pr,disordered_binary_xval,disordered_binary_pr,crystalline_binary_xval,crystalline_binary_pr
366,RxnA_201602,RxnA_201602_1455305191,diffuse,diffuse,True,False,False,True,True,False,False,False,False
399,RxnA_201602,RxnA_201602_1455303325,diffuse,diffuse,True,False,False,True,True,False,False,False,False
411,RxnA_201602,RxnA_201602_1455303431,diffuse,diffuse,True,False,False,True,True,False,False,False,False
406,RxnA_201602,RxnA_201602_1455304642,diffuse,diffuse,True,False,False,True,True,False,False,False,False
351,RxnA_201602,RxnA_201602_1455304606,diffuse,diffuse,True,False,False,True,True,False,False,False,False
410,RxnA_201602,RxnA_201602_1455304368,diffuse,diffuse,True,False,False,True,True,False,False,False,False
408,RxnA_201602,RxnA_201602_1455305514,diffuse,diffuse,True,False,False,True,True,False,False,False,False
398,RxnA_201602,RxnA_201602_1455305444,diffuse,diffuse,True,False,False,True,True,False,False,False,False
373,RxnA_201602,RxnA_201602_1455305428,diffuse,diffuse,True,False,False,True,True,False,False,False,False
360,RxnA_201602,RxnA_201602_1455304936,diffuse,diffuse,True,False,False,True,True,False,False,False,False
357,RxnA_201602,RxnA_201602_1455304405,diffuse,diffuse,True,False,False,True,True,False,False,False,False
421,RxnA_201602,RxnA_201602_1455305228,diffuse,diffuse,True,False,False,True,True,False,False,False,False
401,RxnA_201602,RxnA_201602_1455304023,diffuse,diffuse,True,False,False,True,True,False,False,False,False
350,RxnA_201602,RxnA_201602_1455303812,diffuse,diffuse,True,False,False,True,True,False,False,False,False
353,RxnA_201602,RxnA_201602_1455306307,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
389,RxnA_201602,RxnA_201602_1455306425,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
396,RxnA_201602,RxnA_201602_1455306356,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
407,RxnA_201602,RxnA_201602_1455306397,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
418,RxnA_201602,RxnA_201602_1455306373,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
